s,a,t,b
70,0,62,55
70,0,62,55
70,0,64,55
70,0,64,55
70,0,64,55
69,0,61,55
69,0,61,55
69,0,61,52
69,0,61,52
69,0,62,53
69,0,62,53
69,0,62,53
69,0,57,53
69,0,57,53
62,0,59,53
62,0,59,53
62,0,59,53
62,0,59,50
62,0,59,50
67,0,59,52
67,0,59,52
67,0,61,52
67,0,61,52
67,0,61,52
67,62,62,50
67,62,62,50
64,62,62,50
64,62,62,50
64,62,62,50
65,62,57,50
65,62,57,50
74,62,57,50
74,62,57,50
64,69,57,50
64,69,57,50
64,69,57,50
64,69,57,47
64,69,57,47
64,69,57,49
64,69,57,49
64,69,57,49
64,69,57,49
64,69,57,49
64,65,57,50
64,65,57,50
62,65,57,50
62,65,57,50
62,65,57,50
69,65,57,50
69,65,57,50
69,65,57,48
69,65,57,48
69,65,57,48
69,62,58,46
69,62,58,46
69,62,58,46
69,62,58,46
67,62,58,46
67,62,58,46
67,62,58,46
67,62,58,46
67,62,58,46
69,61,0,45
69,61,0,45
69,61,0,45
69,61,52,45
69,61,52,45
69,61,57,45
69,61,57,45
69,61,57,43
69,61,57,43
69,61,57,43
0,62,57,41
0,62,57,41
0,62,58,43
0,62,58,43
0,62,58,43
0,64,57,41
0,64,57,41
0,64,55,40
0,64,55,40
0,65,57,38
0,65,57,38
0,65,57,38
0,65,57,41
0,65,57,41
0,65,59,40
0,65,59,40
0,65,59,40
0,65,59,38
0,65,59,38
0,65,60,45
0,65,60,45
0,67,60,45
0,67,60,45
0,67,60,45
0,65,60,45
0,65,60,45
0,64,60,41
0,64,60,41
0,64,60,41
0,62,60,46
0,62,60,46
0,62,57,46
0,62,57,46
0,67,58,46
0,67,58,46
0,67,58,46
0,67,58,43
0,67,58,43
0,67,57,50
0,67,57,50
0,67,57,50
0,64,57,50
0,64,57,50
0,65,62,50
0,65,62,50
0,65,62,53
0,65,62,53
0,65,62,53
0,64,62,57
0,64,62,57
0,64,59,57
0,64,59,57
0,64,59,57
0,69,60,57
0,69,60,57
0,69,60,45
0,69,60,45
0,69,59,40
0,69,59,40
0,69,59,40
0,66,59,40
0,66,59,40
0,67,64,0
0,67,64,0
0,67,64,0
0,67,64,0
0,67,64,0
69,66,64,0
69,66,64,0
69,66,57,0
69,66,57,0
69,66,57,0
69,66,62,0
69,66,62,0
69,74,62,0
69,74,62,0
69,74,62,0
76,68,62,52
76,68,62,52
76,68,62,52
76,68,62,52
76,68,60,52
76,68,60,52
76,68,60,52
76,68,59,52
76,68,59,52
72,69,60,57
72,69,60,57
72,69,60,57
72,69,62,57
72,69,62,57
72,0,64,57
72,0,64,57
72,57,64,57
72,57,64,57
72,57,64,57
69,60,64,53
69,60,64,53
69,60,64,53
69,60,64,53
69,60,64,53
69,57,62,53
69,57,62,53
69,57,60,53
69,57,60,53
68,62,59,53
68,62,59,53
68,62,59,53
68,62,59,53
68,62,59,53
68,65,59,52
68,65,59,52
68,65,59,52
68,65,59,50
68,65,59,50
69,64,60,48
69,64,60,48
69,64,60,50
69,64,60,50
69,64,60,50
71,62,56,48
71,62,56,48
71,62,56,47
71,62,56,47
71,62,56,47
72,60,57,45
72,60,57,45
72,60,55,45
72,60,55,45
72,69,54,45
72,69,54,45
72,69,54,45
72,69,52,45
72,69,52,45
72,69,54,50
72,69,54,50
72,69,54,50
74,69,54,50
74,69,54,50
72,62,55,50
72,62,55,50
70,62,55,50
70,62,55,50
70,62,55,50
69,64,55,49
69,64,55,49
69,64,55,49
69,64,55,49
69,64,55,49
0,69,53,49
0,69,53,49
0,69,52,49
0,69,52,49
0,69,53,45
0,69,53,45
0,69,53,45
0,67,52,45
0,67,52,45
69,65,50,45
69,65,50,45
69,65,50,45
69,64,49,45
69,64,49,45
69,62,50,42
69,62,50,42
72,62,50,42
72,62,50,42
72,62,50,42
70,62,0,42
70,62,0,42
69,62,0,42
69,62,0,42
69,62,0,42
70,62,0,43
70,62,0,43
69,62,0,43
69,62,0,43
67,62,0,45
67,62,0,45
67,62,0,45
66,62,0,45
66,62,0,45
67,62,0,46
67,62,0,46
67,62,0,46
67,62,0,46
67,62,0,46
67,67,0,46
67,67,0,46
70,67,0,46
70,67,0,46
70,67,0,46
64,67,0,46
64,67,0,46
64,67,0,48
64,67,0,48
64,67,0,48
64,60,0,46
64,60,0,46
66,60,0,45
66,60,0,45
67,60,0,43
67,60,0,43
67,60,0,43
67,57,0,43
67,57,0,43
67,58,0,43
67,58,0,43
67,58,0,43
64,58,0,43
64,58,0,43
61,57,0,43
61,57,0,43
61,57,0,40
61,57,0,40
61,57,0,40
61,57,0,41
61,57,0,41
69,57,0,41
69,57,0,41
69,57,0,41
62,57,0,46
62,57,0,46
62,53,0,46
62,53,0,46
62,55,0,46
62,55,0,46
62,55,0,46
65,55,0,46
65,55,0,46
64,60,0,46
64,60,0,46
64,60,0,46
64,60,0,43
64,60,0,43
64,60,0,45
64,60,0,45
72,60,0,45
72,60,0,45
72,60,0,45
65,60,0,50
65,60,0,50
65,57,0,50
65,57,0,50
65,57,0,50
65,59,0,50
65,59,0,50
